ticker,name,exchange,category name,country
UOB8TF.BK,UOB Freehold Eight Thonglor Property Fund,SET,,Thailand
EIC.BK,Electronics Industry Public Company Limited,SET,,Thailand
SCI.BK,SCI Electric Public Company Limited,SET,,Thailand
SCI-R.BK,SCI Electric Public Company Limited,SET,,Thailand
EMC-R.BK,EMC Public Company Limited,SET,,Thailand
EMC.BK,EMC Public Company Limited,SET,,Thailand
PTG.BK,PTG Energy Public Company Limited,SET,,Thailand
T.BK,T Engineering Corporation Public Company Limited,SET,,Thailand
EPCO.BK,Eastern Printing Public Company Limited,SET,,Thailand
EPCO-R.BK,Eastern Printing Public Company Limited,SET,,Thailand
